Instance,Pressure (torr)
31,0.01729707426856714
32,0.01729707426856714
33,0.01729707426856714
34,0.01729707426856714
35,0.01729707426856714
36,0.01729707426856714
37,0.01729707426856714
38,0.01729707426856714
39,0.01729707426856714
40,0.01729707426856714
41,0.017207051762940732
42,0.017207051762940732
43,0.017316579144786196
44,0.017316579144786196
45,0.017316579144786196
46,0.017316579144786196
47,0.017316579144786196
48,0.017316579144786196
49,0.017123030757689423
50,0.017123030757689423
51,0.01729707426856714
52,0.01729707426856714
53,0.017123030757689423
54,0.017123030757689423
55,0.017123030757689423
56,0.017123030757689423
57,0.01718754688672168
58,0.01718754688672168
59,0.01718754688672168
60,0.017316579144786196
61,0.017252063015753938
62,0.01729707426856714
63,0.01729707426856714
64,0.01729707426856714
65,0.01729707426856714
66,0.01729707426856714
67,0.01729707426856714
68,0.01729707426856714
69,0.01729707426856714
70,0.01729707426856714
71,0.01729707426856714
72,0.01729707426856714
73,0.01729707426856714
74,0.01729707426856714
75,0.01729707426856714
76,0.01729707426856714
77,0.01729707426856714
78,0.01729707426856714
79,0.01729707426856714
80,0.01729707426856714
81,0.01729707426856714
82,0.01729707426856714
